,User,Partition,Type
0,algore,0,p
1,jlo,0,c
2,ludacris,0,c
3,chrisbrown,0,c
4,channingtatum,0,c
5,thehill,0,m
6,mashable,0,m
7,leodicaprio,0,c
8,borisjohnson,0,p
9,ciara,0,c
10,thereval,0,p
11,newsweek,0,m
12,marcorubio,1,p
13,johnkasich,1,p
14,tgowdysc,0,p
15,johnemichel,1,p
16,freedomworks,0,p
17,sengillibrand,0,p
18,jessicasimpson,0,c
19,kyliejenner,0,c
20,kendricklamar,0,c
21,austinmahone,0,c
22,bobbyjindal,1,p
23,salahitareq,0,p
24,nickiminaj,0,c
25,nytimesworld,0,m
26,billclinton,0,p
27,techcrunch,0,m
28,foxsports,0,m
29,travelleisure,0,m
30,corybooker,0,p
31,kobebryant,0,c
32,nasahqphoto,0,p
33,arianagrande,0,c
34,tedcruz,1,p
35,sensanders,0,p
36,lukebryanonline,0,c
37,lindasuhler,1,p
38,carlyfiorina,1,p
39,comedycentral,0,m
40,jcolenc,0,c
41,fastcompany,0,m
42,kdtrey5,0,c
43,gabbygiffords,0,p
44,thehermancain,1,p
45,jimcarrey,0,c
46,katyperry,0,c
47,pharrell,0,c
48,pbs,0,m
49,marketwatch,0,m
50,reince,0,p
51,vanityfair,0,m
52,aplusk,0,c
53,wsj,0,m
54,joebiden,0,p
55,lagarde,0,p
56,nikkihaley,0,p
57,mcfaul,1,p
58,nickelodeontv,0,m
59,senatorreid,0,p
60,kevinhart4real,0,c
61,victoriajustice,0,c
62,ryanseacrest,0,c
63,speakerryan,1,p
64,charliesheen,0,c
65,parentsmagazine,0,m
66,natgeophotos,0,m
67,jimmykimmel,0,c
68,nytimesarts,0,m
69,people,0,m
70,mariahcarey,0,c
71,ellemagazine,0,m
72,foxnews,0,m
73,kimkardashian,0,c
74,astro_jose,0,p
75,wwd,0,m
76,usher,0,c
77,thenextweb,0,m
78,liltunechi,0,c
79,billboard,0,m
80,gavinnewsom,0,p
81,rollingstone,0,m
82,iamdiddy,0,c
83,cnni,0,m
84,govmikehuckabee,1,p
85,nancypelosi,0,p
86,espnstatsinfo,0,m
87,abc,0,m
88,cbsnews,0,m
89,oprah,0,c
90,natgeotravel,0,m
91,harvardbiz,0,m
92,tmz,0,m
93,randpaul,1,p
94,kendalljenner,0,c
95,xtina,0,c
96,ricksantorum,1,p
97,govchristie,0,p
98,stephenathome,0,c
99,ronpaul,0,p
100,nytimesbooks,0,m
101,taylorswift13,0,c
102,sciam,0,m
103,gov,0,m
104,parishilton,0,c
105,gop,0,p
106,speakerboehner,1,p
107,discovery,0,m
108,usatoday,0,m
109,billpostmus,1,p
110,hillaryclinton,0,p
111,slate,0,m
112,twitterapi,0,m
113,business,0,m
114,mirandacosgrove,0,c
115,lmfao,0,c
116,nbcnews,0,m
117,univision,0,m
118,elizabethforma,0,p
119,treysongz,0,c
120,eminem,0,c
121,bw,0,m
122,aliciakeys,0,c
123,jerrybrowngov,0,p
124,kelly_clarkson,0,c
125,kasimreed,0,p
126,usweekly,0,m
127,blakeshelton,0,c
128,hbo,0,m
129,zacefron,0,c
130,potus,0,p
131,donnabrazile,0,p
132,senschumer,0,p
133,nprpolitics,0,m
134,stevemartintogo,0,c
135,senwarren,0,p
136,whowhatwear,0,m
137,housedemocrats,0,p
138,ddlovato,0,c
139,kanyewest,0,c
140,theellenshow,0,c
141,actuallynph,0,c
142,johnlegend,0,c
143,realsimple,0,m
144,foramerica,1,p
145,rbreich,0,p
146,marieclaire,0,m
147,therock,0,c
148,mileycyrus,0,c
149,repronpaul,0,p
150,mufihannemann,0,p
151,iamqueenlatifah,0,c
152,johncena,0,c
153,entrepreneur,0,m
154,joejonas,0,c
155,nbaontnt,0,m
156,esquirenetwork,0,m
157,carmeloanthony,0,c
158,tyrabanks,0,c
159,johnkerry,0,p
160,danieltosh,0,c
161,uninoticias,0,m
162,mindykaling,0,c
163,50cent,0,c
164,kourtneykardash,0,c
165,georgehwbush,0,p
166,dwstweets,0,p
167,brunomars,0,c
168,andersoncooper,0,c
169,conanobrien,0,c
170,teamcantor,0,p
171,iggyazalea,0,c
172,sentedcruz,1,p
173,britneyspears,0,c
174,enews,0,m
175,npr,0,m
176,realdonaldtrump,0,p
177,tyga,0,c
178,gadgetlab,0,m
179,darrellissa,1,p
180,ericcantor,0,p
181,cosmopolitan,0,m
182,khloekardashian,0,c
183,wiredscience,0,m
184,nbatv,0,m
185,dccc,0,p
186,jessicaalba,0,c
187,jebbush,0,p
188,businessinsider,0,m
189,womenshealthmag,0,m
190,karlrove,1,p
191,condoleezzarice,0,p
192,nbc,0,m
193,digg,0,m
194,governorperry,1,p
195,billgates,0,c
196,sarahpalinusa,0,p
197,joetrippi,1,p
198,ew,0,m
199,foodandwine,0,m
200,sarahksilverman,0,c
201,buzzfeed,0,m
202,fortunemagazine,0,m
203,evalongoria,0,c
204,jtimberlake,0,c
205,azizansari,0,c
206,camerondallas,0,c
207,iamwill,0,c
208,younghollywood,0,m
209,serenawilliams,0,c
210,newtgingrich,1,p
211,govgaryjohnson,1,p
212,cntraveler,0,m
213,bet,0,m
214,history,0,m
215,senmikelee,0,p
216,ladygaga,0,c
217,cnbc,0,m
218,thedemocrats,0,p
219,politico,0,m
220,govwalker,0,p
221,sethmacfarlane,0,c
222,marcanthony,0,c
223,michelebachmann,1,p
224,washingtonpost,0,m
225,thr,0,m
226,travelchannel,0,m
227,ap,0,m
228,shawnmendes,0,c
229,snoopdogg,0,c
230,latimes,0,m
231,tmagazine,0,m
232,cnnmoney,0,m
233,voguemagazine,0,m
234,sai,0,m
235,inc,0,m
236,pink,0,c
237,ashleytisdale,0,c
238,shaq,0,c
239,stephencurry30,0,c
240,repjohnlewis,0,p
241,teenvogue,0,m
242,menshealthmag,0,m
243,alfranken,0,p
244,johnkingated,0,p
245,selenagomez,0,c
246,goodhealth,0,m
247,mittromney,0,p
248,jimdemint,0,p
249,realbencarson,1,p
250,massgovernor,0,p
251,pryan,0,p
252,bigsean,0,c
253,theatlantic,0,m
254,nytimes,0,m
255,krisjenner,0,c
256,jasoninthehouse,1,p
257,sciencechannel,0,m
258,kingjames,0,c
259,espndeportes,0,m
260,madam_president,0,p
261,parenting,0,m
262,ambassadorrice,0,p
263,newyorker,0,m
264,wired,0,m
265,wizkhalifa,0,c
266,senjohnmccain,1,p
267,weatherchannel,0,m
268,timkaine,0,p
269,ericgarcetti,0,p
270,barackobama,0,p
271,davidaxelrod,0,p
272,lindsaylohan,0,c
273,robertdowneyjr,0,c
274,wendydavis,0,p
275,nflnetwork,0,m
276,nickjonas,0,c
277,life,0,m
278,jimmyfallon,0,c
279,jeffarazzi,0,p
280,chrischristie,1,p
281,justinbieber,0,c
282,scottwalker,0,p
283,preetbharara,0,p
284,berniesanders,0,p
285,pitbull,0,c
286,tppatriots,0,p
287,maroon5,0,c
288,marvel,0,m
