,User,Partition,Type
267,kingjames,3,c
268,espndeportes,3,m
269,madam_president,2,p
270,ladygaga,1,c
271,parenting,0,m
272,nytimesworld,0,m
273,shaq,3,c
274,wired,0,m
275,newyorker,0,m
276,wizkhalifa,3,c
277,senjohnmccain,2,p
278,weatherchannel,2,m
279,tppatriots,2,p
280,ericgarcetti,2,p
281,barackobama,2,p
282,davidaxelrod,2,p
283,robertdowneyjr,1,c
284,ericcantor,2,p
285,wendydavis,2,p
286,nflnetwork,3,m
287,nickjonas,1,c
288,life,0,m
289,jimmyfallon,3,c
290,jeffarazzi,2,p
291,justinbieber,1,c
292,natgeotravel,2,m
293,preetbharara,2,p
294,berniesanders,2,p
295,pitbull,1,c
296,stevemartintogo,1,c
297,chrischristie,2,p
298,marvel,1,m
